"FECHA,""Tipo de cambio - TC Interbancario (S/ por US$) - Venta"""
27Mar98,2.817
30Mar98,2.816
31Mar98,2.807
01Abr98,2.805
02Abr98,2.816
03Abr98,2.815
06Abr98,2.814
07Abr98,2.813
08Abr98,2.812
09Abr98,n.d.
10Abr98,n.d.
13Abr98,2.818
14Abr98,2.823
15Abr98,2.823
16Abr98,2.825
17Abr98,2.82
20Abr98,2.82
21Abr98,2.824
22Abr98,2.827
23Abr98,2.832
24Abr98,2.83
27Abr98,2.831
28Abr98,2.826
29Abr98,2.828
30Abr98,2.827
01May98,n.d.
04May98,2.835
05May98,2.837
06May98,2.84
07May98,2.842
08May98,2.841
11May98,2.844
12May98,2.843
13May98,2.842
14May98,2.84
15May98,2.84
18May98,2.844
19May98,2.845
20May98,2.844
21May98,2.843
22May98,2.844
25May98,2.847
26May98,2.849
27May98,2.859
28May98,2.863
29May98,2.866
01Jun98,2.873
02Jun98,2.87
03Jun98,2.867
04Jun98,2.882
05Jun98,2.892
08Jun98,2.898
09Jun98,2.894
10Jun98,2.896
11Jun98,2.897
12Jun98,2.908
15Jun98,2.928
16Jun98,2.923
17Jun98,2.913
18Jun98,2.911
19Jun98,2.92
22Jun98,2.936
23Jun98,2.936
24Jun98,2.955
25Jun98,2.942
26Jun98,2.928
29Jun98,n.d.
30Jun98,2.938
01Jul98,2.93
02Jul98,2.933
03Jul98,2.924
06Jul98,2.93
07Jul98,2.929
08Jul98,2.926
09Jul98,2.922
10Jul98,2.922
13Jul98,2.916
14Jul98,2.912
15Jul98,2.908
16Jul98,2.913
17Jul98,2.905
20Jul98,2.908
21Jul98,2.907
22Jul98,2.909
23Jul98,2.922
24Jul98,2.919
27Jul98,2.923
28Jul98,n.d.
29Jul98,n.d.
30Jul98,2.929
31Jul98,2.931
03Ago98,2.935
04Ago98,2.939
05Ago98,2.943
06Ago98,2.952
07Ago98,2.954
10Ago98,2.951
11Ago98,2.959
12Ago98,2.96
13Ago98,2.958
14Ago98,2.948
17Ago98,2.95
18Ago98,2.946
19Ago98,2.945
20Ago98,2.955
21Ago98,2.971
24Ago98,2.969
25Ago98,2.964
26Ago98,2.98
27Ago98,3.008
28Ago98,3.016
31Ago98,3.03
01Set98,3.05
02Set98,3.033
03Set98,3.054
04Set98,3.048
07Set98,3.054
08Set98,3.06
09Set98,3.05
10Set98,3.068
11Set98,3.07
14Set98,3.053
15Set98,3.029
16Set98,3.029
17Set98,3.046
18Set98,3.022
21Set98,3.03
22Set98,3.023
23Set98,3.029
24Set98,3.034
25Set98,3.037
28Set98,3.046
29Set98,3.049
30Set98,3.056
01Oct98,3.06
02Oct98,3.043
05Oct98,3.038
06Oct98,3.032
07Oct98,3.041
08Oct98,n.d.
09Oct98,3.056
12Oct98,3.06
13Oct98,3.054
14Oct98,3.052
15Oct98,3.041
16Oct98,3.046
19Oct98,3.043
20Oct98,3.04
21Oct98,3.046
22Oct98,3.047
23Oct98,3.05
26Oct98,n.d.
27Oct98,3.057
28Oct98,3.064
29Oct98,3.077
30Oct98,3.07
02Nov98,3.08
03Nov98,3.084
04Nov98,3.078
05Nov98,3.084
06Nov98,3.08
09Nov98,3.089
10Nov98,3.094
11Nov98,3.09
12Nov98,3.093
13Nov98,3.094
16Nov98,3.094
17Nov98,3.089
18Nov98,3.088
19Nov98,3.093
20Nov98,3.093
23Nov98,3.093
24Nov98,3.104
25Nov98,3.11
26Nov98,3.12
27Nov98,3.121
30Nov98,3.126
01Dic98,3.131
02Dic98,3.14
03Dic98,3.15
04Dic98,3.146
07Dic98,3.134
08Dic98,n.d.
09Dic98,3.131
10Dic98,3.145
11Dic98,3.145
14Dic98,3.138
15Dic98,3.133
16Dic98,3.129
17Dic98,3.129
18Dic98,3.126
21Dic98,3.13
22Dic98,3.129
23Dic98,3.127
24Dic98,3.128
25Dic98,n.d.
28Dic98,3.141
29Dic98,3.154
30Dic98,3.157
31Dic98,3.158
01Ene99,n.d.
04Ene99,3.164
05Ene99,3.174
06Ene99,3.182
07Ene99,3.188
08Ene99,3.194
11Ene99,3.197
12Ene99,3.202
13Ene99,3.256
14Ene99,3.302
15Ene99,3.288
18Ene99,3.245
19Ene99,3.253
20Ene99,3.25
21Ene99,3.275
22Ene99,3.281
25Ene99,3.304
26Ene99,3.328
27Ene99,3.331
28Ene99,3.345
29Ene99,3.364
01Feb99,3.375
02Feb99,3.376
03Feb99,3.401
04Feb99,3.391
05Feb99,3.389
08Feb99,3.389
09Feb99,3.389
10Feb99,3.379
11Feb99,3.392
12Feb99,3.399
15Feb99,3.39
16Feb99,3.383
17Feb99,3.385
18Feb99,3.389
19Feb99,3.396
22Feb99,3.41
23Feb99,3.426
24Feb99,3.424
25Feb99,3.452
26Feb99,3.444
01Mar99,3.387
02Mar99,3.394
03Mar99,3.397
04Mar99,3.404
05Mar99,3.409
08Mar99,3.414
09Mar99,3.406
10Mar99,3.402
11Mar99,3.3927
12Mar99,3.3707
15Mar99,3.3465
16Mar99,3.3545
17Mar99,3.3744
18Mar99,3.3545
19Mar99,3.3476
22Mar99,3.3669
23Mar99,3.3898
24Mar99,3.3963
25Mar99,3.3823
26Mar99,3.3748
29Mar99,3.3581
30Mar99,3.344
31Mar99,3.3304
01Abr99,n.d.
02Abr99,n.d.
05Abr99,3.3437
06Abr99,3.3528
07Abr99,3.3712
08Abr99,3.3664
09Abr99,3.3566
12Abr99,3.3641
13Abr99,3.355
14Abr99,3.344
15Abr99,3.3463
16Abr99,3.3473
19Abr99,3.346
20Abr99,3.3403
21Abr99,3.3456
22Abr99,3.3443
23Abr99,3.3453
26Abr99,3.3508
27Abr99,3.343
28Abr99,3.3357
29Abr99,3.3491
30Abr99,3.3374
03May99,3.3339
04May99,3.3266
05May99,3.3314
06May99,3.3363
07May99,3.3398
10May99,3.333
11May99,3.3233
12May99,3.3278
13May99,3.3201
14May99,3.3269
17May99,3.328
18May99,3.3215
19May99,3.3229
20May99,3.325
21May99,3.3322
24May99,3.3385
25May99,3.3569
26May99,3.3408
27May99,3.3328
28May99,3.3282
31May99,3.3348
01Jun99,3.3325
02Jun99,3.338
03Jun99,3.3333
04Jun99,3.3381
07Jun99,3.3381
08Jun99,3.3443
09Jun99,3.3483
10Jun99,3.3513
11Jun99,3.3484
14Jun99,3.3418
15Jun99,3.3349
16Jun99,3.3343
17Jun99,3.3324
18Jun99,3.3337
21Jun99,3.3378
22Jun99,3.3354
23Jun99,3.339
24Jun99,3.3428
25Jun99,3.3385
28Jun99,3.3376
29Jun99,n.d.
30Jun99,3.3338
01Jul99,3.3305
02Jul99,3.3256
05Jul99,3.3249
06Jul99,3.322
07Jul99,3.3233
08Jul99,3.3204
09Jul99,3.3215
12Jul99,3.3248
13Jul99,3.3304
14Jul99,3.3206
15Jul99,3.3138
16Jul99,3.3123
19Jul99,3.3115
20Jul99,3.3138
21Jul99,3.318
22Jul99,3.3245
23Jul99,3.3219
26Jul99,3.3318
27Jul99,3.3306
28Jul99,n.d.
29Jul99,n.d.
30Jul99,3.3351
02Ago99,3.3393
03Ago99,3.3528
04Ago99,3.3478
05Ago99,3.3478
06Ago99,3.3578
09Ago99,3.3663
10Ago99,3.3868
11Ago99,3.3678
12Ago99,3.3621
13Ago99,3.3561
16Ago99,3.3623
17Ago99,3.3597
18Ago99,3.3692
19Ago99,3.3676
20Ago99,3.3693
23Ago99,3.3554
24Ago99,3.3639
25Ago99,3.3677
26Ago99,3.3707
27Ago99,3.3734
30Ago99,n.d.
31Ago99,3.386
01Set99,3.3894
02Set99,3.4029
03Set99,3.3969
06Set99,3.3959
07Set99,3.416
08Set99,3.4167
09Set99,3.4104
10Set99,3.4022
13Set99,3.3976
14Set99,3.4062
15Set99,3.4085
16Set99,3.4177
17Set99,3.4163
20Set99,3.4217
21Set99,3.4228
22Set99,3.4237
23Set99,3.4319
24Set99,3.4396
27Set99,3.4491
28Set99,3.4678
29Set99,3.4618
30Set99,3.4638
01Oct99,3.469
04Oct99,3.4723
05Oct99,3.476
06Oct99,3.4692
07Oct99,3.4599
08Oct99,n.d.
11Oct99,3.4575
12Oct99,3.4641
13Oct99,3.4685
14Oct99,3.4783
15Oct99,3.4802
18Oct99,3.4773
19Oct99,3.4748
20Oct99,3.4716
21Oct99,3.4703
22Oct99,3.4685
25Oct99,3.4761
26Oct99,3.4749
27Oct99,3.4861
28Oct99,3.4904
29Oct99,3.4938
01Nov99,n.d.
02Nov99,3.489
03Nov99,3.4884
04Nov99,3.493
05Nov99,3.4905
08Nov99,3.4878
09Nov99,3.4843
10Nov99,3.4854
11Nov99,3.4771
12Nov99,3.4671
15Nov99,3.4673
16Nov99,3.4731
17Nov99,3.4773
18Nov99,3.4725
19Nov99,3.4672
22Nov99,3.4788
23Nov99,3.4849
24Nov99,3.4899
25Nov99,3.4935
26Nov99,3.4915
29Nov99,3.4925
30Nov99,3.4905
01Dic99,3.4913
02Dic99,3.4822
03Dic99,3.4749
06Dic99,3.4763
07Dic99,3.4774
08Dic99,n.d.
09Dic99,3.4705
10Dic99,3.4686
13Dic99,3.4695
14Dic99,3.4677
15Dic99,3.4624
16Dic99,3.4722
17Dic99,3.4715
20Dic99,3.4818
21Dic99,3.4918
22Dic99,3.4901
23Dic99,3.4914
24Dic99,3.4972
27Dic99,3.5023
28Dic99,3.5036
29Dic99,3.5061
30Dic99,3.5115
31Dic99,3.5072
03Ene00,3.5192
04Ene00,3.5263
05Ene00,3.5198
06Ene00,3.5072
07Ene00,3.513
10Ene00,3.5095
11Ene00,3.5077
12Ene00,3.5099
13Ene00,3.5046
14Ene00,3.4937
17Ene00,3.4864
18Ene00,3.4904
19Ene00,3.4988
20Ene00,3.5048
21Ene00,3.4991
24Ene00,3.4955
25Ene00,3.4904
26Ene00,3.4938
27Ene00,3.4778
28Ene00,3.4788
31Ene00,3.4915
01Feb00,3.4715
02Feb00,3.4741
03Feb00,3.4729
04Feb00,3.479
07Feb00,3.4731
08Feb00,3.4612
09Feb00,3.4483
10Feb00,3.4438
11Feb00,3.4454
14Feb00,3.436
15Feb00,3.4297
16Feb00,3.4416
17Feb00,3.4346
18Feb00,3.4456
21Feb00,3.4629
22Feb00,3.4655
23Feb00,3.4583
24Feb00,3.4692
25Feb00,3.4696
28Feb00,3.4619
29Feb00,3.4445
01Mar00,3.4121
02Mar00,3.4099
